"2004","OC","6502.65289730769"
"2004","EU","24075.6811024137"
"2004","NA","12576.2540507741"
"2004","AS","7991.81514887959"
"2004","SA","3051.490229875"
"2004","AF","1496.55481116852"
"2005","SA","3683.69183808333"
"2005","OC","7113.57516690769"
"2005","AF","1742.09820439074"
"2005","EU","25627.6296463765"
"2005","AS","9035.4179858551"
"2005","NA","13573.9379207074"
"2006","AS","10100.1715535878"
"2006","OC","7281.14328806923"
"2006","SA","4475.36621566667"
"2006","AF","1954.56763390741"
"2006","EU","27744.2414883471"
"2006","NA","14645.1674026778"
"2007","SA","5267.48642641667"
"2007","AS","11215.0095426225"
"2007","AF","2264.16934197963"
"2007","EU","32625.3724640196"
"2007","OC","8246.18313350769"
"2007","NA","15947.8204389074"
"2008","NA","16388.9851626407"
"2008","AS","12837.9321558673"
"2008","SA","6333.302634"
"2008","EU","34604.658752098"
"2008","AF","2620.47470108518"
"2008","OC","8980.15142107693"
"2009","AS","10973.5034343265"
"2009","AF","2184.63212211482"
"2009","NA","15034.2181121778"
"2009","EU","28372.8601820392"
"2009","OC","7981.89217461538"
"2009","SA","6235.78769758333"
"2010","NA","14616.3685892"
"2010","EU","24993.457618098"
"2010","SA","7514.28189708334"
"2010","AS","12451.6738139"
"2010","OC","9304.48598230769"
"2010","AF","2263.52334162963"
"2011","NA","15058.1940201296"
"2011","EU","27619.2314465098"
"2011","AS","14562.5043558939"
"2011","AF","2627.3123474463"
"2011","OC","10744.3102362308"
"2011","SA","8213.24481458333"
"2012","SA","8759.5122565"
"2012","AS","15205.3423724184"
"2012","EU","23191.2401491569"
"2012","NA","13909.4749077259"
"2012","AF","2604.35809945556"
"2012","OC","11482.5038681538"
